Third Body Mass (Mjup),Initial a (AU),Initial e,Jupiter Final e,Jupiter Final a (AU),Third Final e,Third Final a (AU)
0.5,1.0,0.7,0.042726124994796846,5.180165158385782,0.7309516934819172,1.1221016204116014
0.5,1.1025641025641026,0.7,0.04253701754830162,5.166256820391453,0.7249156319676435,1.2323577633469271
0.5,1.205128205128205,0.7,0.04159813618454634,5.182037588303853,0.7260680485563124,1.325577740647991
0.5,1.3076923076923077,0.7,0.04402720055671319,5.169982432942317,0.7279067287389415,1.4657262091961305
0.5,1.4102564102564104,0.7,0.04355177094679185,5.17560673817003,0.721120421673567,1.5372506005942783
0.5,1.512820512820513,0.7,0.04330224990597551,5.168724704453607,0.7189069272721413,1.6476939852661097
0.5,1.6153846153846154,0.7,0.042767667989877654,5.1784567842399145,0.7192094665175904,1.7425508430485777
0.5,1.7179487179487178,0.7,0.044433829105097945,5.175307492085114,0.716739698840374,1.845183498051904
0.5,1.8205128205128205,0.7,0.044104107673185816,5.18493518965426,0.7179092164242431,1.9435672711635426
0.5,1.923076923076923,0.7,0.062083585107508735,5.181100887956879,0.7130135719528601,2.0475670348996884
0.5,2.025641025641026,0.7,0.044828838164047057,5.178531900225574,0.7152055018204347,2.15621302567219
0.5,2.128205128205128,0.7,0.04171286225914265,5.196550053570719,0.7191102075132925,2.253657388151297
0.5,2.230769230769231,0.7,0.04326948379381372,5.188879738869886,0.7156511393130554,2.3541540619440338
0.5,2.333333333333333,0.7,0.1071112626221333,5.216526411819758,0.7082149701407123,2.453242163386809
0.5,2.4358974358974357,0.7,0.046662969897172425,5.174735542766853,0.7114855279844188,2.570028743022711
0.5,2.5384615384615383,0.7,0.05290499215197914,5.154273662965456,0.7062573971052547,2.6854197124505617
0.5,2.641025641025641,0.7,0.057814678790264654,5.147173047656027,0.7042017281404416,2.796237563065538
0.5,2.7435897435897436,0.7,0.038592603519863364,5.224383701484802,0.7205382706888411,2.854370301589131
0.5,2.846153846153846,0.7,0.20275467282481371,4.628562671778064,0.5580822528286827,3.478896113077299
0.5,2.948717948717949,0.7,0.06398897993492887,5.151103243536338,0.7037956668835119,3.11086959895163
0.5,3.051282051282051,0.7,0.046302316581132826,5.080313050342623,0.6947075764283017,3.271174269203696
0.5,3.1538461538461537,0.7,0.06977205212662758,5.209701302741338,0.7114413520781577,3.2711843729735652
0.5,3.2564102564102564,0.7,0.04684292886250343,5.18343427052077,0.7104786596280243,3.396179236267076
0.5,3.358974358974359,0.7,0.42820165573445507,5.919309017160561,0.5332166419031993,3.011444492352279
0.5,3.4615384615384612,0.7,0.18570262647033597,4.628466036193419,0.6044368871735551,4.326750992691257
0.5,3.5641025641025643,0.7,0.07989521756197233,5.19027778731525,0.706134956685792,3.7049874312077127
0.5,3.6666666666666665,0.7,0.27198007787171685,5.3597799355199305,0.6379117161273781,3.6352117852534804
