Third Body Mass (Mjup),Initial a (AU),Initial e,Jupiter Final e,Jupiter Final a (AU),Third Final e,Third Final a (AU)
0.5,6.0,0.7,0.06195272198800357,5.015879467739101,0.7057872239273639,6.710827339637903
0.5,6.141414141414141,0.7,0.07711575502120474,5.208561458750114,0.7037944236628716,6.24647201785228
0.5,6.282828282828283,0.7,0.05393250667315332,5.2476906282298845,0.7068213798074592,6.273116378512053
0.5,6.424242424242424,0.7,0.1084152003033779,5.16152458982711,0.6984720008312323,6.680064660265865
0.5,6.565656565656565,0.7,0.1095558143296808,5.196734859552603,0.6977123202560316,6.702448681241805
0.5,6.707070707070708,0.7,0.08354673276995155,5.202042574724361,0.7023624765280373,6.831006704345077
0.5,6.848484848484849,0.7,0.06823876883403597,4.923897871970085,0.7170521014290888,8.21478864484003
0.5,6.9898989898989905,0.7,0.2362021202601231,6.018235293353915,0.6767800728050561,5.190582409504959
0.5,7.1313131313131315,0.7,0.048335373808260126,5.202032845910705,0.7058647772075344,7.251028358299825
0.5,7.2727272727272725,0.7,0.08869744211333105,5.218104542293565,0.7005515981272988,7.328932005331919
0.5,7.414141414141415,0.7,0.05079763841403272,5.255748924073,0.7036489828053255,7.316630431620842
0.5,7.555555555555555,0.7,0.04582566613611936,5.400815679071995,0.699753940369245,6.900484218514639
0.5,7.696969696969697,0.7,0.0856088256221589,5.236873222820699,0.6995159145164556,7.660059079583174
0.5,7.838383838383838,0.7,0.28406059612724166,4.490859940618195,0.7725895431880879,15.404300413456724
0.5,7.97979797979798,0.7,0.17836503217720082,5.148541604465332,0.684316930514348,8.36181719669659
0.5,8.121212121212123,0.7,0.14819056371021877,5.198472450611354,0.689177714013995,8.256262565338993
0.5,8.262626262626263,0.7,0.15232573333301208,5.214711012705891,0.6824816525001176,8.219709029908879
0.5,8.404040404040403,0.7,0.7295779641551878,15.025205468935857,0.5944131494397972,2.7169493112338645
0.5,8.545454545454545,0.7,0.08335478140410049,5.373748161828707,0.6900772985925182,7.821989819202127
0.5,8.686868686868687,0.7,0.08171565715716059,5.074731349261521,0.713703075551222,9.60663890972848
0.5,8.828282828282829,0.7,0.07088370041937979,5.024587993063455,0.7203384240169584,10.12031740151468
0.5,8.96969696969697,0.7,0.19910675507891748,4.53614995407091,0.8109392204441371,18.55941692721077
0.5,9.11111111111111,0.7,0.03791695112747497,5.39253108123144,0.6897557350664791,8.183408525625012
0.5,9.252525252525253,0.7,0.1371642891753398,5.397542913180331,0.673324970421597,8.270896193694249
0.5,9.393939393939394,0.7,0.05206271630510748,5.025762672273128,0.726126044433748,10.87884013660996
0.5,9.535353535353536,0.7,0.10067817959235306,5.2263876572002355,0.6945744240739623,9.460501546228715
0.5,9.676767676767676,0.7,0.37236976989455106,4.28651360123204,0.9085891396676239,49.3617826828059
0.5,9.818181818181818,0.7,0.05729221647711986,5.195491986762302,0.7030235913155569,9.94796833188704
0.5,9.95959595959596,0.7,0.05486941399049846,5.154302813926448,0.7086474286694273,10.410788416626572
0.5,10.101010101010102,0.7,,,,
0.5,10.242424242424242,0.7,0.04709068885129948,5.522498258880674,0.6707950472943639,8.383990198462085
0.5,10.383838383838384,0.7,0.06418684975093869,5.217866459490152,0.6986823429654266,10.323864649882868
0.5,10.525252525252526,0.7,0.09340334185721212,5.208931210119284,0.6963910536059047,10.52982161791877
0.5,10.666666666666668,0.7,0.04857358763542099,5.228567334974517,0.6978354224036827,10.502058802557942
0.5,10.808080808080808,0.7,0.1066321883650472,4.896464328076615,0.7568750896736096,14.678059307579863
0.5,10.949494949494948,0.7,0.17457673272570054,5.213925630281787,0.6788623588232764,10.889107768826907
0.5,11.090909090909092,0.7,0.20589097164726367,5.242349965020309,0.6642701252598369,10.775523349131937
0.5,11.232323232323234,0.7,0.09126014967125964,5.734590739584822,0.638828761817249,8.034662497392022
0.5,11.373737373737375,0.7,0.05153560154415992,5.0308797032705606,0.734077099263869,13.391706620430107
0.5,11.515151515151516,0.7,0.06109834029672077,5.233411140806154,0.6939542709201453,11.232986193770818
0.5,11.656565656565656,0.7,0.16849075604363656,6.695734756477476,0.6206017617388129,5.834018851553361
0.5,11.797979797979798,0.7,0.08391744502339564,5.269508922588574,0.6844012493386166,11.15063422293263
0.5,11.939393939393941,0.7,0.08853320251840839,5.248021534896817,0.6870768671240197,11.467522589773896
0.5,12.080808080808081,0.7,0.11886284318114841,5.226113865988104,0.6863963432849147,11.80875397080376
0.5,12.222222222222223,0.7,0.05708985575579114,5.325867757555382,0.6753673499423702,10.99375565967384
0.5,12.363636363636363,0.7,0.12142480815590276,5.062107237814813,0.7229847982739923,14.174833035077539
0.5,12.505050505050505,0.7,0.14283090894675218,4.94639936255036,0.7522143970748362,16.53499113283717
0.5,12.646464646464647,0.7,0.06988449472302134,5.311415380581577,0.6740793426722316,11.438587738243081
0.5,12.787878787878789,0.7,0.051557859771731517,5.160875405458532,0.7065074668628624,13.217197884004946
0.5,12.929292929292929,0.7,0.06620446977804295,5.268210201142133,0.6814221272522761,12.082396825584487
0.5,13.070707070707071,0.7,0.06994482400994756,5.078512644361255,0.7253663278473179,14.734845549537013
0.5,13.212121212121213,0.7,0.3179495582100609,4.42651316349386,0.9529095365745058,108.75343443658727
0.5,13.353535353535353,0.7,0.0863575718083721,5.253413792694356,0.680409722064783,12.580845519096506
0.5,13.494949494949497,0.7,0.14392610339841094,4.2481995695447,1.052085985512559,-89.9316598175119
0.5,13.636363636363637,0.7,0.10500087064602961,5.260295575905327,0.6742223569338152,12.701322184255774
0.5,13.777777777777779,0.7,0.09906517586789261,5.02562779303917,0.7381383031193407,16.56443925924132
0.5,13.91919191919192,0.7,0.06864215725512494,5.349063466334955,0.6562058972825641,11.929812608671206
0.5,14.06060606060606,0.7,0.13820077473910056,4.8786302164652975,0.783479358523541,21.16981945131279
0.5,14.202020202020202,0.7,0.07682941185677472,5.39828813767516,0.6420744836083485,11.633246134075826
0.5,14.343434343434344,0.7,0.07990825597488725,5.514665664512693,0.615012881188006,10.703191316074069
0.5,14.484848484848486,0.7,0.07871614272282773,5.233284819423021,0.6826458515879238,13.788410621530096
0.5,14.626262626262626,0.7,0.24090141727887932,4.801156199712686,0.8021180297859024,25.818620959925955
0.5,14.767676767676766,0.7,0.27267199872868647,7.03062565981363,0.41811134832535,5.8612534014051585
0.5,14.909090909090908,0.7,0.07393845056537653,4.674063058572279,0.8711480525395553,37.37374398545791
