Third Body Mass (Mjup),Initial a (AU),Initial e,Jupiter Final e,Jupiter Final a (AU),Third Final e,Third Final a (AU)
0.5,6.0,0.0,,,,
0.5,6.051282051282052,0.0,,,,
0.5,6.102564102564102,0.0,,,,
0.5,6.153846153846154,0.0,0.23555845065473346,4.3676255498029155,0.4504353704770159,11.10178162009985
0.5,6.205128205128204,0.0,0.05207142192009778,5.148384651036752,0.013829322280895895,6.3301187930277365
0.5,6.256410256410256,0.0,0.027643649593728607,5.155691458584896,0.057178783373821276,6.362989465255566
0.5,6.307692307692308,0.0,,,,
0.5,6.358974358974359,0.0,,,,
0.5,6.410256410256411,0.0,,,,
0.5,6.461538461538462,0.0,0.09758891799936782,6.518238060551421,0.2254760992570204,4.286750742944221
0.5,6.512820512820513,0.0,0.11727567329518687,4.687887879538296,0.3411304294278367,8.92332426833482
0.5,6.564102564102565,0.0,,,,
0.5,6.615384615384615,0.0,0.07673530451304454,5.118809410756542,0.06342897415921456,6.8762796257739245
0.5,6.666666666666667,0.0,0.04032720714788216,5.173729206116583,0.037043737147567556,6.733455732553897
0.5,6.717948717948718,0.0,0.05654684907850337,5.157012359444197,0.0532375695025475,6.852076922985444
0.5,6.769230769230769,0.0,0.058264610167057376,5.166086582529214,0.03505821563800733,6.8742786787546475
0.5,6.82051282051282,0.0,0.049055455246006026,5.180958824709846,0.02542037077761143,6.875842250779188
0.5,6.871794871794871,0.0,0.04367516937867723,5.1837975894832615,0.022191900374874743,6.913753111602731
0.5,6.9230769230769225,0.0,0.03821451151470841,5.19666649452422,0.032432059257891784,6.9339728008899355
0.5,6.9743589743589745,0.0,0.04053269551986943,5.183905491928693,0.0329166532263055,7.017360097769594
0.5,7.0256410256410255,0.0,0.042962924023116425,5.184099296601677,0.026840892182763754,7.068264958409726
0.5,7.076923076923077,0.0,0.0480937764077891,5.184449506285673,0.012539102000844465,7.120569294399182
0.5,7.128205128205129,0.0,0.034525688232577956,5.184453973950237,0.047575015138285125,7.173445422772877
0.5,7.179487179487179,0.0,0.043585816419688644,5.187992026412424,0.02254420029426122,7.2125857242288935
0.5,7.230769230769231,0.0,0.0354507599926029,5.189359172500213,0.045008781032463606,7.263903469546459
0.5,7.282051282051282,0.0,0.0447885483207645,5.187347194285271,0.026502547059842615,7.3196729555601
0.5,7.333333333333333,0.0,0.028543024528386588,5.190657156748666,0.05606248661689747,7.366491915808061
0.5,7.384615384615384,0.0,0.02017664607020783,5.192110859415636,0.059977591866344535,7.412809334206145
0.5,7.435897435897435,0.0,0.0477109241165685,5.190819880781989,0.034270409564990105,7.472545147765991
0.5,7.487179487179487,0.0,0.02616326689507388,5.1916191767834885,0.057361595072420314,7.518093695132935
0.5,7.538461538461538,0.0,0.03961757277729656,5.1916854122326805,0.04060783213042718,7.568060212392658
0.5,7.58974358974359,0.0,0.027229059412117947,5.192590941580279,0.0491356634566487,7.612708549829841
0.5,7.6410256410256405,0.0,0.03625843169435043,5.196189644396437,0.03884594777357568,7.655681597916743
0.5,7.692307692307692,0.0,0.046910832154655795,5.196626810629397,0.008249041928726377,7.706093721179816
0.5,7.743589743589744,0.0,0.05599414245033713,5.18873316598122,0.010142666876862416,7.788855839902952
0.5,7.794871794871796,0.0,0.056589892326544385,5.188615856790521,0.01889692885173616,7.843428301858152
0.5,7.846153846153845,0.0,0.005579128398185513,5.189229554265235,0.07275056435895562,7.891780712150839
