Third Body Mass (Mjup),Initial a (AU),Initial e,Jupiter Final e,Jupiter Final a (AU),Third Final e,Third Final a (AU)
5.0,6.0,0.0,0.5821547737977786,15.343901300803953,0.10390990406324896,5.199531524784824
5.0,6.051282051282052,0.0,0.3684270387340663,10.66073384293905,0.0651462085779682,5.350952752517375
5.0,6.102564102564102,0.0,0.2479737242540436,4.27859035828258,0.03449091079147485,6.384737767475312
5.0,6.153846153846154,0.0,0.42918040869421337,11.820158924777083,0.09735230390820719,5.410769007925609
5.0,6.205128205128204,0.0,,,,
5.0,6.256410256410256,0.0,,,,
5.0,6.307692307692308,0.0,,,,
5.0,6.358974358974359,0.0,0.17360087200655913,8.650662210025079,0.021146430101483142,5.752379481710249
5.0,6.410256410256411,0.0,0.11694936559866259,4.793137240819421,0.02134654629041141,6.5191329062105225
5.0,6.461538461538462,0.0,0.09235108706259665,4.9099551344772125,0.0285229913874126,6.5403028780689505
5.0,6.512820512820513,0.0,0.049841272519810936,4.918152898833792,0.022234991917776333,6.581008396077286
5.0,6.564102564102565,0.0,0.04807192177785718,4.891270209463703,0.02055840202527929,6.638152352304396
5.0,6.615384615384615,0.0,0.09213919729405147,4.883237110813027,0.02072803065108092,6.698757449854472
5.0,6.666666666666667,0.0,0.05030074034166152,4.927818189095198,0.029293453844804227,6.735934022884544
5.0,6.717948717948718,0.0,0.07397919842539322,4.92451614954536,0.015697691123285448,6.787540168260106
5.0,6.769230769230769,0.0,0.06125589505390515,4.989372980035067,0.021938612483385713,6.823470915153421
5.0,6.82051282051282,0.0,0.05360724308668499,4.968627832986409,0.015087416461316505,6.877069208049189
5.0,6.871794871794871,0.0,,,,
5.0,6.9230769230769225,0.0,0.828294005754585,41.919529964145354,0.14840276171776914,5.6994712225024875
5.0,6.9743589743589745,0.0,,,,
5.0,7.0256410256410255,0.0,0.28952344636406563,10.607974086978372,0.043952860769364985,6.174804193230799
5.0,7.076923076923077,0.0,0.0550712864711952,5.007824300648652,0.021445087931877868,7.127033311368092
5.0,7.128205128205129,0.0,0.03615568059717992,5.164469518762204,0.010422288119886778,7.13672124743647
5.0,7.179487179487179,0.0,0.09161850387352227,5.163636781648775,0.009725050438496419,7.196803693459442
5.0,7.230769230769231,0.0,0.10294393102420747,4.988674050486664,0.020478020340293408,7.29495479784921
5.0,7.282051282051282,0.0,0.06440825854399614,5.069219892504126,0.006047723027155375,7.3163861336002345
5.0,7.333333333333333,0.0,0.03342728274563384,5.074454621212099,0.017558019124512936,7.364813689916899
5.0,7.384615384615384,0.0,0.20198069929863707,4.751079272389703,0.060190803796180935,7.56909572387043
5.0,7.435897435897435,0.0,0.19063523152761774,6.05739976427294,0.03622981994345221,7.295774305913559
5.0,7.487179487179487,0.0,0.14639256342185333,4.946644754917367,0.027566984365373585,7.578844982434118
5.0,7.538461538461538,0.0,0.19593526073205184,4.898137109518993,0.023303804082629446,7.661894727814375
