Third Body Mass (Mjup),Initial a (AU),Initial e,Jupiter Final e,Jupiter Final a (AU),Third Final e,Third Final a (AU)
9.5,6.0,0.0,0.8572351486269494,2.483037612245673,0.1060978271047292,6.860383350311957
14.999999999999998,6.307692307692308,0.0,0.8539160897903482,2.5607441328898792,0.0701432324108456,6.837778740216439
16.0,7.487179487179487,0.0,0.8581020879479017,2.953599132612894,0.06748406602117,8.011968785669943
15.5,7.333333333333333,0.0,0.7783615420442195,2.8955382228879825,0.1217136199559149,7.881768940804243
16.5,6.9230769230769225,0.0,0.7696664157611025,2.7738845058282293,0.1165647231981519,7.419538255410675
13.5,6.666666666666667,0.0,0.7530400505218707,2.9936798302761005,0.0629096974655164,7.14052457208889
14.0,7.333333333333333,0.0,0.7493039964825493,2.940119148513819,0.1326819697325945,7.924189861973469
8.0,7.487179487179487,0.0,0.7296202729046343,3.116771152987688,0.1711321887967727,8.48852362793759
15.5,6.666666666666667,0.0,0.7262522253570254,3.0581279846718026,0.0729058099541912,7.069954770641887
11.5,6.9230769230769225,0.0,0.7121280451333897,3.2135999231726933,0.064087811174053,7.430273671956397
