Third Body Mass (Mjup),Initial a (AU),Initial e,Jupiter Final e,Jupiter Final a (AU),Third Final e,Third Final a (AU)
0.5,6.0,0.0,,,,
0.5,6.051282051282052,0.0,0.018926487264780346,5.1093012129341435,0.08539555378448514,6.278600821959517
0.5,6.102564102564102,0.0,0.091514043683954,6.142666603992607,0.14492500489888807,4.466604605645016
0.5,6.153846153846154,0.0,0.016682984840731892,5.134234817738102,0.07330664509913042,6.314629181060382
0.5,6.205128205128204,0.0,0.029650764822070793,5.145313998381593,0.05977892175540817,6.3374435252607775
0.5,6.256410256410256,0.0,0.033095419787059065,5.155245629412316,0.054638889553483096,6.365965932350287
0.5,6.307692307692308,0.0,0.04240938902246621,5.152419920311032,0.037425156932226554,6.421979940499074
0.5,6.358974358974359,0.0,0.05030208205848791,5.148070121606326,0.03874703609120703,6.492629729666924
0.5,6.410256410256411,0.0,0.09449989659271663,5.083977091225616,0.0922433734624359,6.812980242109524
0.5,6.461538461538462,0.0,0.08143329060723553,4.959688918572343,0.23347974516495779,7.478976167027305
0.5,6.512820512820513,0.0,0.11732308039759781,6.4616734846248995,0.16514734271124148,4.363073827925411
0.5,6.564102564102565,0.0,0.032860602621680175,5.0837931569747745,0.1306259544717457,6.938805385289826
0.5,6.615384615384615,0.0,0.04258437118865534,5.148149395106157,0.07105228858151026,6.767290010820235
0.5,6.666666666666667,0.0,0.048296908584701835,5.171182194854284,0.019747161718877346,6.740983304182106
0.5,6.717948717948718,0.0,0.046956820497496554,5.177336239034728,0.010636384792402732,6.775099485298538
0.5,6.769230769230769,0.0,0.03323309053498798,5.182177075904776,0.050977621545756836,6.8193866499246365
0.5,6.82051282051282,0.0,0.03667808470445878,5.186105711975237,0.05441281092085539,6.867252009913678
0.5,6.871794871794871,0.0,0.03512300203459369,5.180627509040311,0.04143043359460886,6.921473168654443
0.5,6.9230769230769225,0.0,0.04408744582217855,5.189708257232714,0.016601546530462644,6.950457986800031
0.5,6.9743589743589745,0.0,0.03923541268257623,5.183749180979202,0.035190239013285024,7.0175622903186525
0.5,7.0256410256410255,0.0,0.039877151724590824,5.197334477275936,0.0383385593068246,7.039635398871599
0.5,7.076923076923077,0.0,0.04010984512523793,5.186879171909538,0.036220030644633874,7.114546273614703
0.5,7.128205128205129,0.0,0.03495156667453837,5.190723648984526,0.038779953461357264,7.153625873144973
0.5,7.179487179487179,0.0,0.03870623565132536,5.194482289279993,0.03069642499274256,7.195528096900357
0.5,7.230769230769231,0.0,0.031152137278026765,5.188135388961573,0.04548134391819479,7.263591544020415
0.5,7.282051282051282,0.0,0.041547235395359726,5.190777503192713,0.02732321270041052,7.308411644500981
0.5,7.333333333333333,0.0,0.05235218161190995,5.188347175199109,0.0003819636226702072,7.37263998354353
0.5,7.384615384615384,0.0,0.04678924753331819,5.191070354638684,0.008904872894752506,7.411299985202771
0.5,7.435897435897435,0.0,0.054442983245574395,5.188106686984579,0.014201113171785023,7.480344737228637
0.5,7.487179487179487,0.0,0.04541980374048295,5.193096819791634,0.015763834767679685,7.508879409226161
0.5,7.538461538461538,0.0,0.050580511242964865,5.193376619215118,0.008691632514638552,7.564472545645783
0.5,7.58974358974359,0.0,0.045931947136264,5.192608519521724,0.010489507910796933,7.612319083659023
0.5,7.6410256410256405,0.0,0.054057335153264933,5.191679030610944,0.006891093182517504,7.675715248731104
0.5,7.692307692307692,0.0,0.048031739577274954,5.192690713985888,0.014810801750441608,7.718183592031826
0.5,7.743589743589744,0.0,0.05238756464605404,5.199338801986306,0.009279062861362567,7.757860566632436
0.5,7.794871794871796,0.0,0.0477521761724182,5.193099817203667,0.013080125792200997,7.819209482712658
0.5,7.846153846153845,0.0,0.05547211802020902,5.192471420783462,0.006382085251399669,7.881293031324807
0.5,7.897435897435897,0.0,0.051234760585452156,5.191385048195654,0.018773088476583186,7.9320356645293435
0.5,7.948717948717948,0.0,0.055195178580130455,5.199502243782551,0.01164093042667472,7.967065924027198
0.5,8.0,0.0,0.06348617780698793,5.181606888184973,0.03849701745702563,8.086489389101878
1.0,6.0,0.0,0.03980317045112215,4.9965418821532985,0.06510829730960341,6.247729560062952
1.0,6.051282051282052,0.0,0.06224292549383071,5.021569571450193,0.03868503071256412,6.267741377498076
1.0,6.102564102564102,0.0,0.06293559705880979,5.048148326264522,0.019217576816277077,6.283672263844571
1.0,6.153846153846154,0.0,0.009694531846861984,5.066553346202833,0.05622595496945288,6.310937870998832
1.0,6.205128205128204,0.0,0.023322371572465146,5.172944137003142,0.04085764506238699,6.237995627472071
1.0,6.256410256410256,0.0,0.21325056414382393,7.777149581446266,0.22286619553115186,4.444547065491255
1.0,6.307692307692308,0.0,0.19718405326644065,7.6838308592509765,0.22454532541264763,4.523193785937352
1.0,6.358974358974359,0.0,0.17003000824843348,7.142483355114723,0.10971733368127672,4.751089309829933
1.0,6.410256410256411,0.0,0.06724181896135743,6.554725328052204,0.03438972972598454,5.094894250066512
1.0,6.461538461538462,0.0,,,,
1.0,6.512820512820513,0.0,0.060131168687274555,5.12085987107406,0.012458107674764917,6.613504078260881
1.0,6.564102564102565,0.0,0.07171775555762455,5.085254807822243,0.04709994778813578,6.728672470287909
1.0,6.615384615384615,0.0,0.08861918750297601,5.065764042874675,0.04430779113668677,6.817389217541394
1.0,6.666666666666667,0.0,0.06592684735945382,5.082192707482137,0.06181766179813755,6.842450018436797
1.0,6.717948717948718,0.0,0.01963598744312507,5.105322181379215,0.07440728361590655,6.8559482088983525
